--------------malloc Resize int3---------------
Elapsed time: 0.0049588 seconds.
Elapsed time: 0.00544258 seconds.
Elapsed time: 0.00332104 seconds.
Elapsed time: 0.00573214 seconds.
Elapsed time: 0.00606696 seconds.
Elapsed time: 0.00479722 seconds.
Elapsed time: 0.00478269 seconds.
Elapsed time: 0.00403048 seconds.
Elapsed time: 0.00429592 seconds.
Elapsed time: 0.00375316 seconds.


--------------pool Resize int3---------------
Elapsed time: 0.00222584 seconds.
Elapsed time: 0.00222529 seconds.
Elapsed time: 0.00224259 seconds.
Elapsed time: 0.00234001 seconds.
Elapsed time: 0.00221321 seconds.
Elapsed time: 0.00249773 seconds.
Elapsed time: 0.00220447 seconds.
Elapsed time: 0.0032209 seconds.
Elapsed time: 0.00209935 seconds.
Elapsed time: 0.00345779 seconds.


--------------std Resize int3---------------
Elapsed time: 0.00427085 seconds.
Elapsed time: 0.0052274 seconds.
Elapsed time: 0.0046279 seconds.
Elapsed time: 0.00428267 seconds.
Elapsed time: 0.00494764 seconds.
Elapsed time: 0.0042973 seconds.
Elapsed time: 0.00535544 seconds.
Elapsed time: 0.0054559 seconds.
Elapsed time: 0.00564969 seconds.
Elapsed time: 0.00540861 seconds.

